                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.66173,                0.88133,                0.94353,                0.95136,                0.97874,                  0.995,                0.84708,                0.55744,                0.39772,                0.88712,             0.00015715,             0.00015715,             0.00015715
                    113,                0.65638,                0.83027,                0.92664,                0.94031,                0.97495,                  0.995,                0.85044,                0.54491,                0.39735,                0.88024,             0.00015544,             0.00015544,             0.00015544
                    114,                 0.6495,                0.86458,                0.93393,                0.89573,                0.98997,                  0.995,                0.84607,                0.53696,                0.38679,                0.87181,             0.00015373,             0.00015373,             0.00015373
                    115,                0.62057,                0.80006,                0.91496,                 0.9098,                0.98854,                  0.995,                0.84438,                0.55434,                0.37438,                0.87286,             0.00015202,             0.00015202,             0.00015202
                    116,                0.66488,                0.83609,                0.91546,                 0.8745,                0.99857,                  0.995,                 0.8383,                  0.567,                0.37155,                0.87695,             0.00015032,             0.00015032,             0.00015032
                    117,                 0.6364,                0.80721,                0.92107,                0.94828,                0.93772,                  0.995,                0.84148,                0.54749,                0.36777,                 0.8768,             0.00014861,             0.00014861,             0.00014861
                    118,                0.64071,                0.84895,                0.94435,                0.86385,                      1,                  0.995,                0.85144,                0.52528,                0.37684,                0.87513,              0.0001469,              0.0001469,              0.0001469
                    119,                0.62483,                0.82018,                0.93038,                0.93118,                0.98372,                  0.995,                0.85049,                0.52397,                0.38362,                0.86758,             0.00014519,             0.00014519,             0.00014519
                    120,                0.61783,                0.81257,                0.91507,                0.90447,                0.98708,                  0.995,                 0.8255,                0.56411,                0.39042,                 0.8832,             0.00014349,             0.00014349,             0.00014349
                    121,                0.63682,                0.84826,                0.93322,                0.84172,                0.99827,                  0.995,                0.82339,                0.55613,                0.39314,                0.87867,             0.00014178,             0.00014178,             0.00014178
                    122,                0.60469,                0.82595,                0.92181,                0.87127,                      1,                  0.995,                0.82572,                0.56037,                0.39904,                0.87821,             0.00014007,             0.00014007,             0.00014007
                    123,                0.61881,                0.82305,                0.91663,                0.87716,                      1,                  0.995,                0.84857,                 0.5426,                0.38338,                0.87373,             0.00013836,             0.00013836,             0.00013836
                    124,                0.61449,                0.80115,                0.89681,                0.89305,                      1,                  0.995,                0.84374,                0.55143,                0.38585,                0.87612,             0.00013665,             0.00013665,             0.00013665
                    125,                0.62419,                 0.7991,                0.92944,                0.89468,                      1,                  0.995,                0.83606,                0.55027,                0.39687,                0.89136,             0.00013495,             0.00013495,             0.00013495
                    126,                0.61633,                 0.8047,                0.93351,                 0.8897,                      1,                  0.995,                0.85779,                0.52815,                0.38707,                0.89122,             0.00013324,             0.00013324,             0.00013324
                    127,                0.60837,                0.77371,                0.91893,                 0.9209,                      1,                  0.995,                0.85577,                0.53736,                0.37434,                0.88839,             0.00013153,             0.00013153,             0.00013153
                    128,                0.58727,                0.78408,                0.92215,                0.93365,                0.99742,                  0.995,                0.86608,                0.51808,                0.37934,                0.87751,             0.00012982,             0.00012982,             0.00012982
                    129,                0.59664,                0.76154,                0.90632,                0.94184,                0.99914,                  0.995,                0.87572,                0.50066,                 0.3795,                0.87256,             0.00012812,             0.00012812,             0.00012812
                    130,                 0.5866,                0.74913,                0.90472,                  0.934,                      1,                  0.995,                0.88537,                0.49143,                0.37166,                0.86382,             0.00012641,             0.00012641,             0.00012641
                    131,                0.62661,                0.81004,                 0.9191,                 0.9585,                0.99348,                  0.995,                0.88498,                0.50109,                0.36438,                0.86038,              0.0001247,              0.0001247,              0.0001247
                    132,                0.61111,                0.76343,                0.91323,                0.95867,                0.98761,                  0.995,                0.88052,                0.48143,                0.35468,                0.85033,             0.00012299,             0.00012299,             0.00012299
